phase,item,metric,value,source_path
D,upper_maxit40,norm_ratio_L_fix_FD_vs_DeltaFD,0.600,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,upper_maxit15,n_inner_solves_L_fix_FD,34,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,upper_maxit15,n_inner_solves_DeltaFD,34,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,upper_maxit15,wall_seconds_L_fix_FD,0.306,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,upper_maxit15,wall_seconds_DeltaFD,1.003,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,lower_stalled,cosine_any_method_vs_DeltaFD,NaN_groundtruth_itself_nonfinite,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
F,knitro_-300_failures_tested,n_certified_infeasible_of_10,10,results/fullA_d4/1b2a3a0/phaseF_primal_feasibility_lp/phaseF_lp_results.csv
F,knitro_successes_tested,n_lp_confirmed_feasible_of_4,4,results/fullA_d4/1b2a3a0/phaseF_primal_feasibility_lp/phaseF_lp_results.csv
C,lower_direction_profiling,status,NOT_ATTEMPTED_THIS_SESSION,docs/fullA_d4_final_report.md
E,sequential_continuation,status,NOT_ATTEMPTED_THIS_SESSION,docs/fullA_d4_final_report.md
G,W_stability_sweep,status,NOT_ATTEMPTED_THIS_SESSION,docs/fullA_d4_final_report.md
